cbsa,wages_p1,wages_p10,wages_p20,wages_p30,wages_p40,wages_p50,wages_p60,wages_p70,wages_p80,wages_p90,elasticity,fhfa_hpi,zhvi_infadj,labor
35620,21.85462,28.90693,39.44451,43.18386,49.90023,54.47236,59.92212,72.63817,81.69701,97.23947,.75883,3.035762,1.919948,11.57617
16980,17.30137,23.14098,32.77938,40.21915,50.28572,54.89333,57.53811,64.46632,73.44345,86.72083,.8113738,2.534817,1.455807,6.508978
37980,16.93568,23.43372,29.33037,39.64798,48.26649,52.87375,57.3213,66.56179,70.47347,83.83509,1.645051,2.254674,1.13078,3.807424
19100,18.34157,24.01067,31.90061,37.76226,43.25683,50.02062,55.87,65.28561,76.69143,94.5086,2.797682,1.945848,1.121688,3.756965
33100,17.1269,24.63811,29.30799,35.5676,40.01062,42.61864,46.46458,53.20293,60.40346,70.41268,.6535772,1.786853,1.094591,2.921762
47900,17.94,25.06824,30.13821,37.57633,43.56073,50.31957,55.97142,65.53047,77.8124,105.1291,1.605827,2.452078,1.66669,2.406926
19820,15.45488,24.81308,30.57,38.59335,43.19009,54.77319,59.00212,68.83936,76.01083,82.18732,1.241145,2.767389,1.195164,3.079942
12060,17.14723,24.06974,30.44274,40.28886,45.09812,50.51068,56.59439,61.58529,70.00792,83.45091,2.553699,2.095821,1.297387,2.883213
41860,20.43382,28.01717,33.73511,43.43401,50.18258,59.1123,62.54623,73.17515,87.18417,105.5768,.6615863,3.651583,2.881752,2.822753
40140,15.65035,21.95146,26.65139,31.74117,37.30117,43.20708,47.95678,49.99585,53.25777,62.49565,.9431942,2.728909,1.211928,1.173778
38060,15.85137,23.85025,27.11591,36.57336,40.31994,46.12495,50.37392,55.27757,65.56387,70.20963,1.613557,2.232333,1.254848,2.010157
42660,18.11157,27.24853,29.79466,38.65528,45.15401,50.59106,56.47599,63.73419,71.3466,85.60154,.8818612,3.793169,1.894748,2.191557
33460,16.22325,24.38526,27.76947,37.81962,47.05533,51.7347,56.91183,61.94746,71.23579,77.45712,1.447376,2.500354,1.307712,2.325072
41740,17.06048,25.08032,29.68382,36.4664,40.31929,46.51645,53.26368,60.84303,69.43719,88.78505,.6727623,3.274535,1.983533,1.591934
41180,15.08359,23.01043,26.14234,35.8142,44.72112,47.35965,55.11314,61.36497,66.11726,78.3568,2.355826,2.097301,.9922395,1.806633
12580,16.26866,23.03825,28.83666,36.69187,43.34705,47.48901,52.50374,57.03176,64.22401,73.47844,1.234946,2.386747,1.339353,1.437913
38300,13.80551,20.07439,26.84334,33.40973,41.2893,46.82373,52.67949,59.49079,63.06454,76.72321,1.204991,2.050998,.7582267,1.592991
45300,7.992,21.29739,27.1811,32.49536,38.04615,42.7348,45.62394,52.33276,59.03675,68.77677,.9978694,1.989331,.9085303,1.496377
19740,17.06783,25.14873,31.018,36.99371,43.33815,48.18321,56.81718,67.98797,85.0625,90.94768,1.529061,3.032379,1.624752,1.447934
17460,14.22659,22.3046,26.64459,36.254,41.54386,48.26223,53.18824,59.13001,62.61158,73.64361,1.024924,2.239451,1.119888,1.645016
17140,15.19068,22.9487,26.53049,36.56147,44.31867,48.63923,53.81643,59.30213,67.26585,79.56922,2.460951,2.16672,1.107183,1.286146
38900,17.10807,24.40596,26.92357,34.8589,43.24889,48.60284,53.25392,57.55669,63.91016,74.60897,1.066958,3.226048,1.574388,1.264119
28140,15.5996,22.39158,25.66579,36.0831,39.25635,45.77069,50.47401,59.86031,64.34097,71.79246,3.190805,1.941196,.9931928,1.28704
41940,19.06819,29.15812,32.98823,42.9471,48.81184,58.40896,61.33085,88.38113,103.0499,149.1262,.7603266,5.002541,3.198289,1.515642
41700,15.88688,21.52263,23.92637,29.06356,35.9046,40.1523,44.45604,48.19238,53.23697,72.24287,2.982038,1.76571,.9948571,.9266631
36740,17.34387,24.64124,28.99917,34.64184,37.29781,43.38397,46.39112,50.93172,59.56229,71.49411,1.120164,2.041061,1.073357,1.19679
18140,15.09442,23.05212,28.82594,35.30135,40.55328,47.1342,52.90386,55.48103,61.56249,74.05125,2.713189,2.293013,1.14706,1.174525
39300,16.31716,22.84149,25.55417,31.93804,37.8931,43.71256,49.11893,53.58454,57.22583,65.64742,1.605547,2.696067,1.29658,.9274296
47260,14.07421,19.1882,22.22499,29.3562,34.56669,38.53578,42.6722,46.45874,52.37098,57.59288,.8157288,2.168834,1.048348,.7069021
26900,15.86315,22.75457,28.37322,37.59341,44.43741,49.44841,54.83192,56.88,63.60499,78.5407,4.003827,2.207596,1.106281,1.215411
33340,14.44776,20.78008,27.01457,34.92855,41.70515,46.60977,51.91176,58.77493,62.11149,72.50204,1.028642,2.311619,1.16013,1.182537
29820,19.06606,26.85,30.47429,38.32381,40.2564,45.41107,49.65415,53.09241,59.52487,61.99783,1.385496,2.265246,1.468291,.8900608
16740,15.92006,22.12826,26.79132,33.61249,41.12846,46.50912,52.37096,58.91608,66.64742,70.22005,3.092033,2.343545,1.27583,1.156065
35380,16.15801,21.90946,25.13591,36.22726,39.05703,43.85851,46.97633,53.43854,58.15639,64.9687,.8083274,2.029996,1.05419,.761164
12420,16.73789,24.31525,27.06781,34.61068,40.07521,46.30136,50.9392,56.6496,68.13815,85.79088,3.002909,2.402111,1.550167,.7501821
15380,13.79368,19.3806,23.08641,28.99526,38.97746,45.40709,49.85293,51.93684,56.39848,71.59637,1.82699,2.086518,.8220167,.735922
31140,10.545,20.92425,25.70852,33.16421,38.53659,45.07764,48.49929,52.45058,59.23066,66.20366,2.340009,2.309505,.9764314,.7527099
25540,17.92283,23.10039,27.49403,36.7336,45.30917,52.87172,55.77835,62.31203,68.54621,75.75199,1.496084,2.536368,1.36151,.8803949
27260,14.33555,20.76868,23.82407,30.95983,39.70565,44.16534,50.33255,58.54684,61.66273,67.56212,1.059162,1.889608,1.00797,.7241968
40060,15.34474,21.6176,26.08901,34.00467,39.58809,43.59384,49.69385,57.76657,62.70386,72.33801,2.599609,1.929215,1.116414,.6135405
36420,12.74671,19.65638,23.43204,29.48,34.77367,38.95737,44.50625,48.27127,51.91581,60.93467,3.294045,1.866632,.7762831,.6474659
13820,12.025,20.76964,25.10642,32.29799,36.68503,42.00447,46.66315,52.90867,59.72222,66.78813,2.144764,2.007655,.9293123,.6774406
40380,14.53747,20.01137,27.53929,31.88776,39.09179,44.47236,49.74823,53.50034,62.10199,67.03113,1.403616,2.008994,.8954393,.685429
41620,14.67072,22.03347,27.75912,33.56375,39.2361,43.39135,47.00499,54.49476,59.19089,65.03355,.7453108,2.993758,1.650797,.7398943
46140,14.94639,21.75218,23.51035,31.83345,38.21436,42.22604,45.57788,53.66185,58.11724,62.07463,3.353519,1.860994,.8601047,.5565423
46060,14.17188,21.93804,25.20506,30.47427,34.84142,38.9035,40.83241,46.70805,50.46594,59.87731,1.419134,2.350874,1.123733,.3606855
10580,15.29333,21.07539,26.32376,32.00618,40.46784,41.94239,47.27666,54.94538,64.84189,70.73971,1.700388,1.934289,.9602602,.4554078
35300,17.53898,23.97381,25.88595,36.34011,42.43302,46.08347,54.10804,57.7833,63.14454,71.68861,.9750816,2.537284,1.285558,.5531157
23420,13.14138,20.41862,26.07072,32.04065,34.36691,40.3145,44.8075,49.40654,52.46964,60.06543,1.836077,2.304924,1.00987,.294682
